transaction_id,status,id_fin,distance,passengers_count,status1,pac_amount_to_collect,pac_status,pac_enabled,total_amount,linked_parent,amount,txn_tag,doi,doj
TRNAFBBFL7NN45,order_cancelled,21201891,998,4,success,1980.0,collected,true,1980.0,,1980.0,Active                                            ,2019-04-15,20190612
TRNAFBC5L9TJFK,order_cancelled,56733957,2699,1,success,0.0,collected,true,880.0,,880.0,Active                                            ,2019-04-16,20190523
TRNAFB9WD1ZWIL,order_cancelled,55367425,883,1,success,450.0,collected,true,450.0,,450.0,Active                                            ,2019-04-14,20190603
TRNA1J5934HZTC,order_cancelled,48163994,703,1,success,390.0,collected,true,390.0,,390.0,NEWGI                                             ,2019-04-20,20190530
TRNAFBBDM0FJ3H,order_cancelled,40902666,1822,2,success,3650.0,collected,true,3650.0,,3650.0,Active                                            ,2019-04-15,20190519
TRNAFBAZN8QF7R,order_cancelled,58258991,1598,1,success,635.0,collected,true,635.0,,635.0,NEWGI                                             ,2019-04-15,20190603
TRNAFBC1T8XK0W,order_cancelled,58147427,362,1,success,0.0,collected,true,250.0,,250.0,Active                                            ,2019-04-16,20190518
TRNAFBEDEVRKXO,order_cancelled,25407480,889,1,success,1775.0,collected,true,1775.0,,1775.0,Active                                            ,2019-04-18,20190526
TRNAFBB6V174VF,order_cancelled,548044,462,1,success,320.0,collected,true,320.0,,320.0,Active                                            ,2019-04-15,20190517
TRNAFBEZ3L82W8,order_cancelled,56012972,719,1,success,395.0,collected,true,395.0,,395.0,Active                                            ,2019-04-18,20190602
TRNAFBAGJXWKHB,order_cancelled,19680883,1044,1,success,1380.0,collected,true,1380.0,,1380.0,Active                                            ,2019-04-14,20190602
TRNAFBCKWLGR07,order_cancelled,37538668,530,1,success,1285.0,collected,true,1285.0,,1285.0,Active                                            ,2019-04-16,20190521
TRNAFBDCAPILOS,order_cancelled,55902411,239,1,success,740.0,collected,true,740.0,,740.0,NEWLOB                                            ,2019-04-17,20190519
TRNAFBI9U3VFE3,order_cancelled,58330648,1667,2,success,3550.0,collected,true,3550.0,,3550.0,NEWLOB                                            ,2019-04-21,20190527
TRNAFBB18R7NKF,order_cancelled,30174367,547,1,success,940.0,collected,true,940.0,,940.0,NEWLOB                                            ,2019-04-15,20190523
TRNAFB9Y9B4ORR,order_cancelled,30945257,1122,3,success,4195.0,collected,true,4195.0,,4195.0,Active                                            ,2019-04-14,20190519
TRNAFBDHN95GFQ,order_cancelled,56444845,1467,5,success,2920.0,collected,true,2920.0,,2920.0,Active                                            ,2019-04-17,20190609
TRNAFBHOTHSTNL,order_cancelled,45014879,1420,2,success,1160.0,collected,true,1160.0,,1160.0,Active                                            ,2019-04-21,20190609
TRNAFBJ2WXPH9C,order_cancelled,42763343,2338,2,success,5045.0,collected,true,5045.0,,5045.0,Active                                            ,2019-04-22,20190523
TRNAFB95QMB94G,order_cancelled,48975534,1252,1,success,585.0,collected,true,585.0,,585.0,Active                                            ,2019-04-13,20190809
TRNAFB9XJ0OCOC,order_cancelled,48932677,949,1,success,0.0,collected,true,1305.0,,1305.0,Active                                            ,2019-04-14,20190524
TRNAFBCTX8U1BF,order_cancelled,36233698,1355,1,success,1610.0,collected,true,1610.0,,1610.0,Active                                            ,2019-04-16,20190607
TRNA1J4PXU0XNI,order_cancelled,49564957,1946,5,success,7020.0,collected,true,7020.0,,7020.0,Active                                            ,2019-04-15,20190518
TRNAFBAXT44YLL,order_cancelled,58081828,724,1,success,430.0,collected,true,430.0,,430.0,Active                                            ,2019-04-15,20190601
TRNAFBAOOM6KSJ,order_cancelled,43465213,805,1,success,1190.0,collected,true,1190.0,,1190.0,NEWGI                                             ,2019-04-15,20190529
TRNAFBCDAAS5XA,order_cancelled,58362392,2179,1,success,1065.0,collected,true,1065.0,,1065.0,NEWGI                                             ,2019-04-16,20190524
TRNIFB85GGICL2,order_cancelled,31349173,378,1,success,255.0,waitlist,true,255.0,,255.0,NEWLOB                                            ,2019-04-12,20190714
TRNAFAP6CCODOQ,order_cancelled,22549135,704,2,success,2160.0,waitlist,true,2160.0,,2160.0,Active                                            ,2019-03-26,20190406
TRNA1J4XRKUV6M,order_cancelled,14645571,1365,6,success,13540.0,collected,true,13540.0,,13540.0,NEWLOB                                            ,2019-04-17,20190608
TRNAFBBUV66NCP,order_cancelled,9665315,577,1,success,925.0,collected,true,925.0,,925.0,NEWLOB                                            ,2019-04-16,20190527
TRNAFBFQO83CML,order_cancelled,57711788,1225,3,success,1671.0,collected,true,1671.0,,1671.0,Active                                            ,2019-04-19,20190526
TRNAFBFZOFYYNL,order_cancelled,27005303,1208,3,success,1580.0,collected,true,1580.0,,1580.0,NEWGI                                             ,2019-04-19,20190713
TRNAFBH61Y166K,order_cancelled,2223653,1107,1,success,1425.0,collected,true,1425.0,,1425.0,Active                                            ,2019-04-20,20190607
TRNI1J2N0KHY1K,order_cancelled,27152198,195,1,success,160.0,waitlist,true,160.0,,160.0,Active                                            ,2019-03-27,20190402
TRNA1J4X7U64W9,order_cancelled,42969244,1719,1,success,695.0,collected,true,695.0,,695.0,Active                                            ,2019-04-17,20190523
